id_cliente;nome_cliente;email_cliente;genero;idade;segmento;cidade;estado;regiao;renda_estimada
38;Mateus Barbosa;mateus.barbosa38@exemplo.com.br;F;54;Consumidor Final;Curitiba;PR;Sul;6213.31
39;Aline Santos;aline.santos39@exemplo.com.br;F;31;Corporativo;Salvador;BA;Nordeste;13116.53
40;Felipe Pereira;felipe.pereira40@exemplo.com.br;F;38;Corporativo;Niterói;RJ;Sudeste;17343.0
41;  PRISCILA  oliveira ;priscila.oliveira41@exemplo.com.br;M;52;Consumidor Final;Goiânia;GO;Centro-Oeste;5674.42
42;Beatriz Rodrigues;beatriz.rodrigues42@exemplo.com.br;M;36;Corporativo;Santos;SP;Sudeste;4771.27
43;Jessica Fernandes;jessica.fernandes43@exemplo.com.br;M;70;Pequenas Empresas;Fortaleza;CE;Nordeste;11240.02
44;Priscila Dias;priscila.dias44@exemplo.com.br;F;24;Consumidor Final;Niterói;RJ;Sudeste;14301.39
45;Juliana Lima;juliana.lima45@exemplo.com.br;F;61;Consumidor Final;Uberlândia;MG;Sudeste;12538.08
46;Beatriz Soares;beatriz.soares46@exemplo.com.br;M;45;Pequenas Empresas;Campinas;SP;Sudeste;15718.37
47;Gabriel Silva;gabriel.silva47@exemplo.com.br;F;65;Consumidor Final;Niterói;RJ;Sudeste;9401.92
48;Diego Carvalho;diego.carvalho48@exemplo.com.br;M;27;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;11093.12
49;Jessica Ribeiro;jessica.ribeiro49@exemplo.com.br;F;20;Consumidor Final;Niterói;RJ;Sudeste;7224.61
50;Daniela Freitas;daniela.freitas50@exemplo.com.br;F;61;Consumidor Final;Campinas;SP;Sudeste;6267.33
51;Rodrigo Ribeiro;rodrigo.ribeiro51@exemplo.com.br;M;28;Consumidor Final;Salvador;BA;Nordeste;18112.16
52;Renata Ferreira;renata.ferreira52@exemplo.com.br;M;39;Pequenas Empresas;São Paulo;SP;Sudeste;14952.9
53;Pedro Nunes;pedro.nunes53@exemplo.com.br;F;68;Consumidor Final;Curitiba;PR;Sul;13630.83
54;thiago machado;thiago.machado54@exemplo.com.br;M;70;Consumidor Final;Recife;PE;Nordeste;17170.77
55;Gustavo Gomes;gustavo.gomes55@exemplo.com.br;M;60;Consumidor Final;Curitiba;PR;Sul;5348.02
56;Felipe Lima;felipe.lima56@exemplo.com.br;F;50;Pequenas Empresas;Londrina;PR;Sul;8714.76
57;Jessica Fernandes;jessica.fernandes57@exemplo.com.br;M;29;Corporativo;São Paulo;SP;Sudeste;11663.61
58;Beatriz Santos;beatriz.santos58@exemplo.com.br;F;68;Pequenas Empresas;Salvador;BA;Nordeste;7312.94
59;Aline Soares;aline.soares59@exemplo.com.br;M;20;Corporativo;Goiânia;GO;Centro-Oeste;13753.2
60;Lucas Soares;lucas.soares60@exemplo.com.br;M;45;Corporativo;Brasília;DF;Centro-Oeste;3340.57
61;Eduardo Freitas;eduardo.freitas61@exemplo.com.br;M;37;Pequenas Empresas;Caxias do Sul;RS;Sul;10466.1
62;Eduardo Carvalho;eduardo.carvalho62@exemplo.com.br;M;44;Consumidor Final;Porto Alegre;RS;Sul;13038.35
63;Thiago Dias;thiago.dias63@exemplo.com.br;F;53;Corporativo;Belo Horizonte;MG;Sudeste;15789.72
64;Larissa Gomes;larissa.gomes64@exemplo.com.br;F;46;Corporativo;Goiânia;GO;Centro-Oeste;9407.2
65;Camila Soares;camila.soares65@exemplo.com.br;M;50;Corporativo;Belo Horizonte;MG;Sudeste;13020.82
66;Aline Costa;aline.costa66@exemplo.com.br;F;69;Consumidor Final;Curitiba;PR;Sul;5445.82
67;Lucas Santos;lucas.santos67@exemplo.com.br;M;44;Corporativo;Recife;PE;Nordeste;16644.03
68;Bruna Alves;bruna.alves68@exemplo.com.br;F;33;Corporativo;Joinville;SC;Sul;4605.41
69;Diego Silva;diego.silva69@exemplo.com.br;F;29;Consumidor Final;Rio de Janeiro;RJ;Sudeste;15306.99
70;Diego Soares;diego.soares70@exemplo.com.br;M;47;Consumidor Final;Brasília;DF;Centro-Oeste;4373.43
71;Rafael Dias;rafael.dias71@exemplo.com.br;F;57;Corporativo;Brasília;DF;Centro-Oeste;15484.61
72;Daniela Soares;daniela.soares72@exemplo.com.br;F;65;Consumidor Final;Brasília;DF;Centro-Oeste;16242.37
73;Rafael Lima;rafael.lima73@exemplo.com.br;F;33;Pequenas Empresas;Londrina;PR;Sul;6675.94
74;Mateus Nascimento;mateus.nascimento74@exemplo.com.br;F;52;Corporativo;Londrina;PR;Sul;3513.42
75;Juliana Pereira;juliana.pereira75@exemplo.com.br;M;44;Consumidor Final;Niterói;RJ;Sudeste;8843.87
76;Patricia Almeida;patricia.almeida76@exemplo.com.br;F;67;Corporativo;Uberlândia;MG;Sudeste;11720.49
77;Diego Silva;diego.silva77@exemplo.com.br;F;18;Corporativo;Goiânia;GO;Centro-Oeste;17566.69
78;Larissa Moreira;larissa.moreira78@exemplo.com.br;M;32;Corporativo;Salvador;BA;Nordeste;6648.85
79;Ana Silva;ana.silva79@exemplo.com.br;M;26;Corporativo;Joinville;SC;Sul;18185.77
80;Patricia Silva;patricia.silva80@exemplo.com.br;M;59;Consumidor Final;Goiânia;GO;Centro-Oeste;9186.39
81;Vanessa Almeida;vanessa.almeida81@exemplo.com.br;F;31;Corporativo;Londrina;PR;Sul;9611.6
82;Felipe Moreira;felipe.moreira82@exemplo.com.br;F;71;Corporativo;Londrina;PR;Sul;3535.07
83;Lucas Andrade;lucas.andrade83@exemplo.com.br;M;22;Pequenas Empresas;Florianópolis;SC;Sul;14934.1
84;Marcos Santos;marcos.santos84@exemplo.com.br;M;57;Consumidor Final;Curitiba;PR;Sul;4683.83
85;Juliana Lopes;juliana.lopes85@exemplo.com.br;M;62;Corporativo;Goiânia;GO;Centro-Oeste;6376.77
86;Gustavo Ferreira;gustavo.ferreira86@exemplo.com.br;M;24;Corporativo;Rio de Janeiro;RJ;Sudeste;11632.56
87;Priscila Gomes;priscila.gomes87@exemplo.com.br;F;30;Pequenas Empresas;Joinville;SC;Sul;3438.74
88;Diego Marques;diego.marques88@exemplo.com.br;F;56;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;15330.11
89;Renata Vieira;renata.vieira89@exemplo.com.br;F;41;Pequenas Empresas;Florianópolis;SC;Sul;3323.99
90;  MARCOS  costa ;marcos.costa90@exemplo.com.br;F;45;Consumidor Final;Salvador;BA;Nordeste;17860.84
91;Marcos Mendes;marcos.mendes91@exemplo.com.br;F;64;Consumidor Final;Niterói;RJ;Sudeste;10704.47
92;Marcos Lima;marcos.lima92@exemplo.com.br;F;45;Corporativo;Brasília;DF;Centro-Oeste;15659.47
93;Bruna Lima;bruna.lima93@exemplo.com.br;M;46;Corporativo;Curitiba;PR;Sul;6174.97
94;Rafael Vieira;rafael.vieira94@exemplo.com.br;F;49;Consumidor Final;Joinville;SC;Sul;16070.53
95;Mariana Lopes;mariana.lopes95@exemplo.com.br;F;56;Corporativo;Londrina;PR;Sul;13629.3
96;  BEATRIZ  fernandes ;beatriz.fernandes96@exemplo.com.br;M;64;Consumidor Final;Uberlândia;MG;Sudeste;8824.78
97;Patricia Moreira;patricia.moreira97@exemplo.com.br;F;68;Corporativo;Recife;PE;Nordeste;2481.07
98;Larissa Pereira;larissa.pereira98@exemplo.com.br;F;55;Pequenas Empresas;Curitiba;PR;Sul;8215.03
99;Patricia Soares;patricia.soares99@exemplo.com.br;F;62;Corporativo;Brasília;DF;Centro-Oeste;9596.05
100;Larissa Lima;larissa.lima100@exemplo.com.br;F;65;Consumidor Final;Uberlândia;MG;Sudeste;10934.58
101;Vinicius Nascimento;vinicius.nascimento101@exemplo.com.br;F;64;Corporativo;Uberlândia;MG;Sudeste;11810.27
102;Vinicius Soares;vinicius.soares102@exemplo.com.br;M;32;Corporativo;Rio de Janeiro;RJ;Sudeste;8082.36
103;Larissa Silva;larissa.silva103@exemplo.com.br;F;21;Consumidor Final;Niterói;RJ;Sudeste;11219.75
104;Diego Rodrigues;diego.rodrigues104@exemplo.com.br;M;54;Consumidor Final;Recife;PE;Nordeste;6834.73
105;Ana Almeida;ana.almeida105@exemplo.com.br;F;25;Corporativo;Campinas;SP;Sudeste;15600.49
106;Thiago Lopes;thiago.lopes106@exemplo.com.br;M;69;Consumidor Final;Campinas;SP;Sudeste;11374.29
107;Larissa Oliveira;larissa.oliveira107@exemplo.com.br;F;56;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;15089.08
108;Fernanda Moreira;fernanda.moreira108@exemplo.com.br;F;55;Corporativo;Feira de Santana;BA;Nordeste;18337.51
109;Larissa Vieira;larissa.vieira109@exemplo.com.br;M;31;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;6513.73
110;Mateus Ferreira;mateus.ferreira110@exemplo.com.br;M;18;Consumidor Final;Brasília;DF;Centro-Oeste;8858.84
111;Diego Barbosa;diego.barbosa111@exemplo.com.br;M;63;Corporativo;Campinas;SP;Sudeste;6808.31
112;Vanessa Almeida;vanessa.almeida112@exemplo.com.br;F;55;Pequenas Empresas;Curitiba;PR;Sul;12977.28
113;Priscila Alves;priscila.alves113@exemplo.com.br;M;27;Pequenas Empresas;Brasília;DF;Centro-Oeste;17007.11
114;Jessica Rodrigues;jessica.rodrigues114@exemplo.com.br;F;65;Pequenas Empresas;Belo Horizonte;MG;Sudeste;15635.12
115;Priscila Gomes;priscila.gomes115@exemplo.com.br;F;43;Pequenas Empresas;Feira de Santana;BA;Nordeste;17565.62
116;Carla Fernandes;carla.fernandes116@exemplo.com.br;M;65;Corporativo;Santos;SP;Sudeste;7453.84
117;Beatriz Silva;beatriz.silva117@exemplo.com.br;M;70;Pequenas Empresas;Goiânia;GO;Centro-Oeste;6593.03
118;Gabriel Moreira;gabriel.moreira118@exemplo.com.br;F;29;Corporativo;Recife;PE;Nordeste;18450.21
119;Pedro Rocha;pedro.rocha119@exemplo.com.br;F;44;Corporativo;Santos;SP;Sudeste;7632.93
120;Eduardo Souza;eduardo.souza120@exemplo.com.br;F;49;Pequenas Empresas;Caxias do Sul;RS;Sul;6897.95
121;Thiago Marques;thiago.marques121@exemplo.com.br;F;38;Consumidor Final;Campinas;SP;Sudeste;6314.1
122;Rodrigo Moreira;rodrigo.moreira122@exemplo.com.br;M;52;Pequenas Empresas;Fortaleza;CE;Nordeste;9730.21
123;Gabriel Alves;gabriel.alves123@exemplo.com.br;F;31;Consumidor Final;Recife;PE;Nordeste;6553.02
124;Juliana Freitas;juliana.freitas124@exemplo.com.br;M;58;Consumidor Final;Recife;PE;Nordeste;12124.61
125;Fernanda Nascimento;fernanda.nascimento125@exemplo.com.br;M;44;Pequenas Empresas;Brasília;DF;Centro-Oeste;3719.31
126;Jessica Freitas;jessica.freitas126@exemplo.com.br;M;63;Corporativo;Rio de Janeiro;RJ;Sudeste;6957.34
127;Diego Lima;diego.lima127@exemplo.com.br;F;47;Consumidor Final;Recife;PE;Nordeste;11185.62
128;Thiago Alves;thiago.alves128@exemplo.com.br;M;35;Consumidor Final;Fortaleza;CE;Nordeste;14794.6
129;Vanessa Carvalho;vanessa.carvalho129@exemplo.com.br;F;36;Consumidor Final;Fortaleza;CE;Nordeste;14034.63
130;Jessica Vieira;jessica.vieira130@exemplo.com.br;M;52;Corporativo;Recife;PE;Nordeste;10094.76
131;Felipe Fernandes;felipe.fernandes131@exemplo.com.br;F;30;Corporativo;Joinville;SC;Sul;18186.63
132;Fernanda Vieira;fernanda.vieira132@exemplo.com.br;M;65;Corporativo;Salvador;BA;Nordeste;9909.51
133;Priscila Nunes;priscila.nunes133@exemplo.com.br;F;26;Consumidor Final;Niterói;RJ;Sudeste;10387.35
134;Bruna Costa;bruna.costa134@exemplo.com.br;M;47;Pequenas Empresas;Feira de Santana;BA;Nordeste;2450.17
135;Juliana Carvalho;juliana.carvalho135@exemplo.com.br;M;68;Corporativo;Niterói;RJ;Sudeste;17998.02
136;Felipe Barbosa;felipe.barbosa136@exemplo.com.br;F;72;Pequenas Empresas;Santos;SP;Sudeste;10898.04
137;Felipe Rocha;felipe.rocha137@exemplo.com.br;M;22;Pequenas Empresas;Recife;PE;Nordeste;6026.75
138;Eduardo Freitas;eduardo.freitas138@exemplo.com.br;M;24;Corporativo;Curitiba;PR;Sul;14594.03
139;Diego Machado;diego.machado139@exemplo.com.br;F;20;Consumidor Final;Belo Horizonte;MG;Sudeste;7487.31
140;Gabriel Gomes;gabriel.gomes140@exemplo.com.br;M;51;Consumidor Final;Salvador;BA;Nordeste;8916.44
141;Eduardo Nunes;eduardo.nunes141@exemplo.com.br;M;42;Pequenas Empresas;Belo Horizonte;MG;Sudeste;12301.28
142;Fernanda Lopes;fernanda.lopes142@exemplo.com.br;M;58;Corporativo;Niterói;RJ;Sudeste;6339.83
143;  BEATRIZ  dias ;beatriz.dias143@exemplo.com.br;F;52;Pequenas Empresas;Feira de Santana;BA;Nordeste;4775.0
144;Rafael Ribeiro;rafael.ribeiro144@exemplo.com.br;F;34;Pequenas Empresas;Porto Alegre;RS;Sul;9646.42
145;Larissa Alves;larissa.alves145@exemplo.com.br;M;42;Consumidor Final;Recife;PE;Nordeste;11522.34
146;Bruna Gomes;bruna.gomes146@exemplo.com.br;M;43;Pequenas Empresas;Porto Alegre;RS;Sul;6674.03
147;Bruna Machado;bruna.machado147@exemplo.com.br;F;67;Corporativo;Campinas;SP;Sudeste;15221.42
148;Aline Nunes;aline.nunes148@exemplo.com.br;F;66;Pequenas Empresas;Uberlândia;MG;Sudeste;13951.13
149;Eduardo Dias;eduardo.dias149@exemplo.com.br;M;68;Corporativo;Rio de Janeiro;RJ;Sudeste;9385.42
150;Bruna Ribeiro;bruna.ribeiro150@exemplo.com.br;F;65;Corporativo;Santos;SP;Sudeste;8972.7
151;Camila Rodrigues;camila.rodrigues151@exemplo.com.br;F;34;Consumidor Final;Florianópolis;SC;Sul;17099.0
152;Ana Nunes;ana.nunes152@exemplo.com.br;M;22;Corporativo;Caxias do Sul;RS;Sul;4494.34
153;Fernanda Machado;fernanda.machado153@exemplo.com.br;F;68;Consumidor Final;Joinville;SC;Sul;8631.57
154;Beatriz Fernandes;beatriz.fernandes154@exemplo.com.br;F;42;Pequenas Empresas;Florianópolis;SC;Sul;15605.4
155;Gustavo Souza;gustavo.souza155@exemplo.com.br;M;53;Pequenas Empresas;Recife;PE;Nordeste;7546.5
156;Aline Pereira;aline.pereira156@exemplo.com.br;F;44;Pequenas Empresas;Feira de Santana;BA;Nordeste;4101.82
157;Gabriel Santos;gabriel.santos157@exemplo.com.br;M;33;Consumidor Final;Recife;PE;Nordeste;16662.33
158;Juliana Martins;juliana.martins158@exemplo.com.br;F;65;Pequenas Empresas;Brasília;DF;Centro-Oeste;14043.57
159;Daniela Carvalho;daniela.carvalho159@exemplo.com.br;F;20;Corporativo;Recife;PE;Nordeste;13451.57
160;Camila Almeida;camila.almeida160@exemplo.com.br;F;61;Consumidor Final;Curitiba;PR;Sul;8187.56
161;Daniela Rocha;daniela.rocha161@exemplo.com.br;F;25;Consumidor Final;Joinville;SC;Sul;17668.88
162;Jessica Almeida;jessica.almeida162@exemplo.com.br;M;68;Consumidor Final;Uberlândia;MG;Sudeste;7636.2
163;Juliana Nunes;juliana.nunes163@exemplo.com.br;M;31;Pequenas Empresas;Santos;SP;Sudeste;15452.76
164;Fernanda Costa;fernanda.costa164@exemplo.com.br;F;26;Consumidor Final;São Paulo;SP;Sudeste;11005.51
165;Renata Ferreira;renata.ferreira165@exemplo.com.br;M;40;Consumidor Final;São Paulo;SP;Sudeste;15076.75
166;Fernanda Vieira;fernanda.vieira166@exemplo.com.br;F;26;Consumidor Final;Belo Horizonte;MG;Sudeste;14290.0
167;Carla Souza;carla.souza167@exemplo.com.br;F;50;Corporativo;Recife;PE;Nordeste;11876.76
168;Rafael Soares;rafael.soares168@exemplo.com.br;F;59;Corporativo;Campinas;SP;Sudeste;17913.63
169;Gabriel Lopes;gabriel.lopes169@exemplo.com.br;M;63;Corporativo;Salvador;BA;Nordeste;17028.12
170;Mateus Mendes;mateus.mendes170@exemplo.com.br;M;35;Consumidor Final;Niterói;RJ;Sudeste;12376.38
171;Bruna Fernandes;bruna.fernandes171@exemplo.com.br;F;50;Corporativo;Joinville;SC;Sul;12068.46
172;Rodrigo Nunes;rodrigo.nunes172@exemplo.com.br;M;46;Corporativo;Brasília;DF;Centro-Oeste;16675.88
173;Pedro Costa;pedro.costa173@exemplo.com.br;F;24;Pequenas Empresas;Joinville;SC;Sul;7294.54
174;Felipe Dias;felipe.dias174@exemplo.com.br;F;23;Consumidor Final;Niterói;RJ;Sudeste;15757.88
175;Mateus Carvalho;mateus.carvalho175@exemplo.com.br;M;21;Pequenas Empresas;Florianópolis;SC;Sul;11759.38
176;Patricia Fernandes;patricia.fernandes176@exemplo.com.br;F;60;Corporativo;Rio de Janeiro;RJ;Sudeste;17540.42
177;Pedro Machado;pedro.machado177@exemplo.com.br;F;37;Pequenas Empresas;Campinas;SP;Sudeste;7931.83
178;Bruna Soares;bruna.soares178@exemplo.com.br;M;40;Consumidor Final;Recife;PE;Nordeste;15979.59
179;Gustavo Souza;gustavo.souza179@exemplo.com.br;M;72;Corporativo;Goiânia;GO;Centro-Oeste;11343.74
180;Vinicius Marques;vinicius.marques180@exemplo.com.br;M;60;Pequenas Empresas;Brasília;DF;Centro-Oeste;15720.21
181;Beatriz Silva;beatriz.silva181@exemplo.com.br;F;18;Corporativo;Porto Alegre;RS;Sul;5156.91
182;Juliana Vieira;juliana.vieira182@exemplo.com.br;M;58;Pequenas Empresas;Santos;SP;Sudeste;18040.51
183;Mateus Andrade;mateus.andrade183@exemplo.com.br;F;39;Corporativo;Joinville;SC;Sul;4765.77
184;Larissa Andrade;larissa.andrade184@exemplo.com.br;M;27;Consumidor Final;Goiânia;GO;Centro-Oeste;4765.78
185;Aline Santos;aline.santos185@exemplo.com.br;F;45;Pequenas Empresas;Londrina;PR;Sul;10116.29
186;Rafael Carvalho;rafael.carvalho186@exemplo.com.br;M;45;Corporativo;Fortaleza;CE;Nordeste;4007.5
187;Eduardo Dias;eduardo.dias187@exemplo.com.br;F;32;Consumidor Final;Fortaleza;CE;Nordeste;8642.79
188;  ALINE  santos ;aline.santos188@exemplo.com.br;M;66;Consumidor Final;Porto Alegre;RS;Sul;6364.97
189;  FELIPE  souza ;felipe.souza189@exemplo.com.br;M;42;Consumidor Final;Salvador;BA;Nordeste;10881.09
190;Fernanda Soares;fernanda.soares190@exemplo.com.br;M;65;Corporativo;Florianópolis;SC;Sul;2889.53
191;Lucas Almeida;lucas.almeida191@exemplo.com.br;F;43;Pequenas Empresas;Caxias do Sul;RS;Sul;13764.83
192;Pedro Gomes;pedro.gomes192@exemplo.com.br;F;69;Consumidor Final;São Paulo;SP;Sudeste;17646.11
193;Rafael Marques;rafael.marques193@exemplo.com.br;M;72;Corporativo;Florianópolis;SC;Sul;3925.57
194;Pedro Vieira;pedro.vieira194@exemplo.com.br;F;65;Corporativo;Santos;SP;Sudeste;7734.07
195;Felipe Moreira;felipe.moreira195@exemplo.com.br;M;50;Pequenas Empresas;Fortaleza;CE;Nordeste;5360.63
196;Vinicius Ribeiro;vinicius.ribeiro196@exemplo.com.br;M;27;Consumidor Final;Niterói;RJ;Sudeste;6372.28
197;Mariana Barbosa;mariana.barbosa197@exemplo.com.br;M;49;Pequenas Empresas;Santos;SP;Sudeste;9762.44
198;Bruna Moreira;bruna.moreira198@exemplo.com.br;F;38;Pequenas Empresas;Goiânia;GO;Centro-Oeste;4660.61
199;Mateus Lopes;mateus.lopes199@exemplo.com.br;F;21;Pequenas Empresas;Porto Alegre;RS;Sul;7936.66
200;Mateus Gomes;mateus.gomes200@exemplo.com.br;M;71;Corporativo;Campinas;SP;Sudeste;6879.36
201;Marcos Machado;marcos.machado201@exemplo.com.br;F;55;Corporativo;Santos;SP;Sudeste;11235.36
202;Renata Andrade;renata.andrade202@exemplo.com.br;M;56;Corporativo;Feira de Santana;BA;Nordeste;9952.75
203;Juliana Santos;juliana.santos203@exemplo.com.br;M;59;Pequenas Empresas;Caxias do Sul;RS;Sul;5012.71
204;Fernanda Nascimento;fernanda.nascimento204@exemplo.com.br;M;41;Corporativo;Feira de Santana;BA;Nordeste;17162.37
205;Thiago Carvalho;thiago.carvalho205@exemplo.com.br;F;39;Consumidor Final;Campinas;SP;Sudeste;3740.45
206;Eduardo Martins;eduardo.martins206@exemplo.com.br;F;55;Consumidor Final;Niterói;RJ;Sudeste;13016.88
207;Priscila Ribeiro;priscila.ribeiro207@exemplo.com.br;M;63;Pequenas Empresas;Joinville;SC;Sul;17489.44
208;Larissa Fernandes;larissa.fernandes208@exemplo.com.br;M;62;Pequenas Empresas;Caxias do Sul;RS;Sul;15712.03
209;Leonardo Dias;leonardo.dias209@exemplo.com.br;F;41;Pequenas Empresas;Santos;SP;Sudeste;2497.16
210;Larissa Ferreira;larissa.ferreira210@exemplo.com.br;F;32;Consumidor Final;Caxias do Sul;RS;Sul;18499.62
211;Juliana Oliveira;juliana.oliveira211@exemplo.com.br;M;39;Pequenas Empresas;Rio de Janeiro;RJ;Sudeste;16485.2
212;Aline Rodrigues;aline.rodrigues212@exemplo.com.br;M;71;Consumidor Final;Niterói;RJ;Sudeste;13493.38
213;Aline Nunes;aline.nunes213@exemplo.com.br;M;41;Corporativo;Feira de Santana;BA;Nordeste;13224.72
214;Fernanda Almeida;fernanda.almeida214@exemplo.com.br;M;33;Pequenas Empresas;Feira de Santana;BA;Nordeste;7244.33
215;Renata Nunes;renata.nunes215@exemplo.com.br;F;54;Pequenas Empresas;Uberlândia;MG;Sudeste;18246.37
216;Rafael Moreira;rafael.moreira216@exemplo.com.br;F;70;Consumidor Final;Joinville;SC;Sul;5455.07
217;Aline Rodrigues;aline.rodrigues217@exemplo.com.br;F;53;Corporativo;Campinas;SP;Sudeste;17428.98
218;Diego Machado;diego.machado218@exemplo.com.br;F;66;Consumidor Final;Rio de Janeiro;RJ;Sudeste;4813.09
219;Rafael Mendes;rafael.mendes219@exemplo.com.br;M;70;Consumidor Final;Salvador;BA;Nordeste;9553.39
220;  GUSTAVO  freitas ;gustavo.freitas220@exemplo.com.br;F;41;Pequenas Empresas;Campinas;SP;Sudeste;6043.18
221;Mateus Ribeiro;mateus.ribeiro221@exemplo.com.br;M;59;Pequenas Empresas;Caxias do Sul;RS;Sul;7665.23
222;juliana rodrigues;juliana.rodrigues222@exemplo.com.br;M;48;Pequenas Empresas;Recife;PE;Nordeste;9512.2
223;Lucas Mendes;lucas.mendes223@exemplo.com.br;M;53;Consumidor Final;Londrina;PR;Sul;17525.68
224;Aline Soares;aline.soares224@exemplo.com.br;M;25;Corporativo;Porto Alegre;RS;Sul;2978.32
225;Pedro Rocha;pedro.rocha225@exemplo.com.br;M;71;Consumidor Final;Feira de Santana;BA;Nordeste;16953.89
226;  ALINE  fernandes ;aline.fernandes226@exemplo.com.br;M;27;Pequenas Empresas;Fortaleza;CE;Nordeste;6947.73
